,open_2,low_2,high_2,close_2,volume_2
2005-06-18,204.09,200.16,204.34,201.51,54689.0
2005-06-19,204.09,200.16,204.34,201.51,54689.0
2005-06-20,201.51,201.39,204.55,203.6,49344.0
2005-06-21,203.61,202.65,205.08,203.27,56476.0
2005-06-22,203.27,202.61,204.41,203.8,52010.0
2005-06-23,203.8,203.73,205.41,204.77,53293.0
2005-06-24,204.77,202.31,205.4,202.75,54222.0
2005-06-25,204.77,202.31,205.4,202.75,54222.0
2005-06-26,204.77,202.31,205.4,202.75,54222.0
2005-06-27,202.75,202.54,204.08,203.48,48808.0
2005-06-28,203.48,203.18,205.25,204.56,59467.0
2005-06-29,204.56,204.23,205.69,204.44,55412.0
2005-06-30,204.44,203.23,205.17,203.87,57665.0
2005-07-01,203.87,203.47,206.75,206.26,52956.0
2005-07-02,203.87,203.47,206.75,206.26,52956.0
2005-07-03,203.87,203.47,206.75,206.26,52956.0
2005-07-04,206.26,205.83,207.81,206.59,39599.0
2005-07-05,206.61,206.54,208.01,206.89,51942.0
2005-07-06,206.87,206.47,207.77,206.9,50372.0
2005-07-07,206.9,206.22,208.04,207.01,49291.0
2005-07-08,207.01,204.62,208.22,204.72,55069.0
2005-07-09,207.01,204.62,208.22,204.72,55069.0
2005-07-10,207.01,204.62,208.22,204.72,55069.0
2005-07-11,204.72,202.73,205.83,202.78,58879.0
2005-07-12,202.78,200.54,203.22,201.12,62083.0
2005-07-13,201.12,201.02,204.15,203.99,51322.0
2005-07-14,203.99,203.21,204.39,203.57,49099.0
2005-07-15,203.58,202.99,204.89,203.31,44142.0
2005-07-16,203.58,202.99,204.89,203.31,44142.0
2005-07-17,203.58,202.99,204.89,203.31,44142.0
2005-07-18,203.31,202.75,204.39,203.92,42107.0
2005-07-19,203.92,203.07,205.91,203.41,50539.0
2005-07-20,203.41,201.14,204.93,201.73,56041.0
2005-07-21,201.73,200.27,202.86,201.3,65360.0
2005-07-22,201.28,200.87,203.38,202.45,51611.0
2005-07-23,201.28,200.87,203.38,202.45,51611.0
2005-07-24,201.28,200.87,203.38,202.45,51611.0
2005-07-25,202.51,202.36,203.96,203.27,45672.0
2005-07-26,203.24,203.06,205.1,203.79,50958.0
2005-07-27,203.79,202.2,204.75,202.39,50576.0
2005-07-28,202.39,201.2,203.48,201.46,51313.0
2005-07-29,201.46,199.83,202.69,199.87,50295.0
2005-07-30,201.46,199.83,202.69,199.87,50295.0
2005-07-31,201.46,199.83,202.69,199.87,50295.0
2005-08-01,199.87,199.76,201.07,199.84,53603.0
2005-08-02,199.84,199.6,200.74,200.42,52268.0
2005-08-03,200.34,196.72,200.73,197.57,55899.0
2005-08-04,197.59,196.33,198.28,196.85,53777.0
2005-08-05,196.85,195.87,197.78,196.49,50812.0
2005-08-06,196.85,195.87,197.78,196.49,50812.0
2005-08-07,196.85,195.87,197.78,196.49,50812.0
2005-08-08,196.49,195.97,197.35,196.53,48542.0
2005-08-09,196.53,195.71,197.48,196.74,52501.0
2005-08-10,196.74,195.39,197.05,195.42,54146.0
2005-08-11,195.42,194.55,196.16,194.71,55000.0
2005-08-12,194.71,194.17,196.52,195.13,47309.0
2005-08-13,194.71,194.17,196.52,195.13,47309.0
2005-08-14,194.71,194.17,196.52,195.13,47309.0
2005-08-15,195.14,195.1,197.36,197.27,43126.0
2005-08-16,197.27,196.52,198.09,197.08,46972.0
2005-08-17,197.08,197.07,198.57,197.81,50026.0
2005-08-18,197.76,197.68,200.13,199.58,48183.0
2005-08-19,199.58,198.63,200.64,198.83,42857.0
2005-08-20,199.58,198.63,200.64,198.83,42857.0
2005-08-21,199.58,198.63,200.64,198.83,42857.0
2005-08-22,198.83,198.67,200.22,199.94,44509.0
2005-08-23,199.96,199.65,201.16,200.48,47680.0
2005-08-24,200.48,198.95,201.31,199.11,49249.0
2005-08-25,199.11,198.81,200.19,199.09,48204.0
2005-08-26,199.09,197.45,199.76,198.06,46650.0
2005-08-27,199.09,197.45,199.76,198.06,46650.0
2005-08-28,199.09,197.45,199.76,198.06,46650.0
2005-08-29,198.07,197.83,200.67,200.59,34418.0
2005-08-30,200.59,199.72,201.21,199.8,50498.0
2005-08-31,199.79,196.91,200.75,197.34,52670.0
2005-09-01,197.34,194.1,197.75,194.75,54817.0
2005-09-02,194.75,192.47,194.99,192.56,51092.0
2005-09-03,194.75,192.47,194.99,192.56,51092.0
2005-09-04,194.75,192.47,194.99,192.56,51092.0
2005-09-05,192.49,192.4,194.76,194.66,38508.0
2005-09-06,194.68,194.29,196.18,194.88,52477.0
2005-09-07,194.88,194.29,196.47,195.94,52996.0
2005-09-08,195.94,195.69,197.28,196.32,51011.0
2005-09-09,196.32,195.34,197.46,197.0,51400.0
2005-09-10,196.32,195.34,197.46,197.0,51400.0
2005-09-11,196.32,195.34,197.46,197.0,51400.0
2005-09-12,197.0,196.8,199.18,198.39,48985.0
2005-09-13,198.39,198.26,200.31,199.13,51400.0
2005-09-14,199.13,198.68,200.4,200.26,52396.0
2005-09-15,200.28,199.28,201.03,199.4,50414.0
2005-09-16,199.4,198.56,201.15,200.88,47484.0
2005-09-17,199.4,198.56,201.15,200.88,47484.0
2005-09-18,199.4,198.56,201.15,200.88,47484.0
2005-09-19,200.88,200.87,203.33,201.55,49059.0
2005-09-20,201.57,201.3,202.79,201.78,52100.0
2005-09-21,201.8,200.52,202.03,201.49,54233.0
2005-09-22,201.49,201.24,204.42,203.75,53150.0
2005-09-23,203.75,203.64,205.79,205.09,52349.0
2005-09-24,203.75,203.64,205.79,205.09,52349.0
2005-09-25,203.75,203.64,205.79,205.09,52349.0
2005-09-26,205.09,204.09,206.73,204.99,51150.0
2005-09-27,204.99,204.6,206.11,205.12,52690.0
2005-09-28,205.12,204.92,207.55,205.76,54902.0
2005-09-29,205.76,205.46,206.93,205.91,48702.0
2005-09-30,205.92,205.91,207.97,207.6,53851.0
2005-10-01,205.92,205.91,207.97,207.6,53851.0
2005-10-02,205.92,205.91,207.97,207.6,53851.0
2005-10-03,207.6,207.24,210.7,210.01,45513.0
2005-10-04,210.01,208.84,210.72,209.09,47674.0
2005-10-05,209.09,206.46,209.09,206.58,50685.0
2005-10-06,206.58,205.24,208.68,205.67,55607.0
2005-10-07,205.67,204.48,207.01,204.48,45172.0
2005-10-08,205.67,204.48,207.01,204.48,45172.0
2005-10-09,205.67,204.48,207.01,204.48,45172.0
2005-10-10,204.48,204.42,207.83,207.69,43291.0
2005-10-11,207.69,207.25,208.4,208.01,49089.0
2005-10-12,207.92,207.73,209.06,208.81,50304.0
2005-10-13,208.81,208.61,212.09,209.5,53517.0
2005-10-14,209.5,207.21,211.44,207.54,52286.0
2005-10-15,209.5,207.21,211.44,207.54,52286.0
2005-10-16,209.5,207.21,211.44,207.54,52286.0
2005-10-17,207.54,207.54,209.73,209.37,47997.0
2005-10-18,209.37,209.33,212.03,211.9,51521.0
2005-10-19,211.9,210.52,213.28,211.43,55647.0
2005-10-20,211.43,209.58,211.95,210.14,51627.0
2005-10-21,210.16,210.09,212.52,211.64,48291.0
2005-10-22,210.16,210.09,212.52,211.64,48291.0
2005-10-23,210.16,210.09,212.52,211.64,48291.0
2005-10-24,211.64,210.86,212.88,211.6,46546.0
2005-10-25,211.6,207.57,212.54,207.76,53720.0
2005-10-26,207.77,206.77,209.58,207.66,54644.0
2005-10-27,207.65,205.9,208.83,206.18,53172.0
2005-10-28,206.18,206.03,207.66,206.97,48452.0
2005-10-29,206.18,206.03,207.66,206.97,48452.0
2005-10-30,206.18,206.03,207.66,206.97,48452.0
2005-10-31,206.97,206.59,208.89,208.59,46979.0
2005-11-01,208.59,207.66,209.12,207.69,52859.0
2005-11-02,207.69,206.19,208.77,206.52,45750.0
2005-11-03,206.52,205.56,207.8,207.55,50470.0
2005-11-04,207.55,207.25,210.88,209.95,50981.0
2005-11-05,207.55,207.25,210.88,209.95,50981.0
2005-11-06,207.55,207.25,210.88,209.95,50981.0
2005-11-07,209.88,207.94,212.71,212.29,52180.0
2005-11-08,212.29,210.41,213.01,210.97,52115.0
2005-11-09,210.95,210.59,213.4,213.11,51507.0
2005-11-10,213.11,212.44,215.06,214.43,51360.0
2005-11-11,214.43,212.06,215.18,212.19,37578.0
2005-11-12,214.43,212.06,215.18,212.19,37578.0
2005-11-13,214.43,212.06,215.18,212.19,37578.0
2005-11-14,212.19,212.1,214.53,213.44,47505.0
2005-11-15,213.44,212.95,215.02,213.33,51710.0
2005-11-16,213.32,212.86,215.11,214.68,51234.0
2005-11-17,214.68,213.82,216.22,214.53,52974.0
2005-11-18,214.53,213.47,217.04,213.83,50007.0
2005-11-19,214.53,213.47,217.04,213.83,50007.0
2005-11-20,214.53,213.47,217.04,213.83,50007.0
2005-11-21,213.85,213.74,216.35,215.79,50459.0
2005-11-22,215.79,213.98,217.61,214.43,54601.0
2005-11-23,214.45,212.72,214.65,213.02,45436.0
2005-11-24,213.03,212.43,213.78,212.82,33983.0
2005-11-25,212.82,212.77,215.02,214.13,38311.0
2005-11-26,212.82,212.77,215.02,214.13,38311.0
2005-11-27,212.82,212.77,215.02,214.13,38311.0
2005-11-28,214.07,210.69,214.65,212.24,51440.0
2005-11-29,212.23,211.56,214.59,213.74,49292.0
2005-11-30,213.74,213.33,215.13,214.54,47268.0
2005-12-01,214.54,214.05,216.1,214.47,48009.0
2005-12-02,214.46,213.29,215.99,214.0,44629.0
2005-12-03,214.46,213.29,215.99,214.0,44629.0
